TILENAME,PATH,RA_CENT,DEC_CENT
DES1103-0915,DEC_Taiga/multiepoch/delve/r6101/DES1103-0915/p01/coadd,165.99309000,-9.26392600
DES0706+2126,DEC_Taiga/multiepoch/delve/r6101/DES0706+2126/p01/coadd,106.73178000,21.43329600
DES0948+0209,DEC_Taiga/multiepoch/delve/r6101/DES0948+0209/p01/coadd,147.17864100,2.15829600
DES0756+1917,DEC_Taiga/multiepoch/delve/r6101/DES0756+1917/p01/coadd,119.21702400,19.29163000
DES1021-2041,DEC_Taiga/multiepoch/delve/r6101/DES1021-2041/p01/coadd,155.37188700,-20.68614800
DES0953+0752,DEC_Taiga/multiepoch/delve/r6101/DES0953+0752/p01/coadd,148.49898500,7.86940700
DES1040+0252,DEC_Taiga/multiepoch/delve/r6101/DES1040+0252/p01/coadd,160.17191900,2.87218500
DES0902+0500,DEC_Taiga/multiepoch/delve/r6101/DES0902+0500/p01/coadd,135.72240000,5.01385200
DES0832+1000,DEC_Taiga/multiepoch/delve/r6101/DES0832+1000/p01/coadd,128.12845100,10.01107400
DES0704+2208,DEC_Taiga/multiepoch/delve/r6101/DES0704+2208/p01/coadd,106.14769400,22.14718500
DES0836+0917,DEC_Taiga/multiepoch/delve/r6101/DES0836+0917/p01/coadd,129.12397700,9.29718500
DES0906+0543,DEC_Taiga/multiepoch/delve/r6101/DES0906+0543/p01/coadd,136.69857800,5.72774100
DES0925-1124,DEC_Taiga/multiepoch/delve/r6101/DES0925-1124/p01/coadd,141.49224900,-11.40559300
DES1152+1043,DEC_Taiga/multiepoch/delve/r6101/DES1152+1043/p02/coadd,178.02237000,10.72496300
DES0922-0207,DEC_Taiga/multiepoch/delve/r6101/DES0922-0207/p01/coadd,140.74416800,-2.12503700
DES1152+2708,DEC_Taiga/multiepoch/delve/r6101/DES1152+2708/p02/coadd,178.13780900,27.14440700
DES1004+0418,DEC_Taiga/multiepoch/delve/r6101/DES1004+0418/p01/coadd,151.24837800,4.29996300
DES1053-0416,DEC_Taiga/multiepoch/delve/r6101/DES1053-0416/p01/coadd,163.40792300,-4.26670400
DES1108+0752,DEC_Taiga/multiepoch/delve/r6101/DES1108+0752/p01/coadd,167.23655500,7.86940700
DES0834+0500,DEC_Taiga/multiepoch/delve/r6101/DES0834+0500/p01/coadd,128.55608900,5.01385200
DES1011+0500,DEC_Taiga/multiepoch/delve/r6101/DES1011+0500/p01/coadd,152.92154500,5.01385200
DES1105-1458,DEC_Taiga/multiepoch/delve/r6101/DES1105-1458/p01/coadd,166.25522200,-14.97503700
DES0930-1541,DEC_Taiga/multiepoch/delve/r6101/DES0930-1541/p01/coadd,142.64502200,-15.68892600
DES0845+0500,DEC_Taiga/multiepoch/delve/r6101/DES0845+0500/p01/coadd,131.42261300,5.01385200
DES1154+0500,DEC_Taiga/multiepoch/delve/r6101/DES1154+0500/p02/coadd,178.72026300,5.01385200
DES0944-0416,DEC_Taiga/multiepoch/delve/r6101/DES0944-0416/p01/coadd,146.22697400,-4.26670400
DES0942-1915,DEC_Taiga/multiepoch/delve/r6101/DES0942-1915/p01/coadd,145.64266700,-19.25837000
DES1116+0001,DEC_Taiga/multiepoch/delve/r6101/DES1116+0001/p01/coadd,169.14449200,0.01663000
DES1019-0416,DEC_Taiga/multiepoch/delve/r6101/DES1019-0416/p01/coadd,154.81744800,-4.26670400
DES0816+0043,DEC_Taiga/multiepoch/delve/r6101/DES0816+0043/p01/coadd,124.18648600,0.73051900
DES1050+0543,DEC_Taiga/multiepoch/delve/r6101/DES1050+0543/p01/coadd,162.52753400,5.72774100
DES0759+1917,DEC_Taiga/multiepoch/delve/r6101/DES0759+1917/p01/coadd,119.97338300,19.29163000
DES1136+2000,DEC_Taiga/multiepoch/delve/r6101/DES1136+2000/p01/coadd,174.06848200,20.00551900
DES0918-1332,DEC_Taiga/multiepoch/delve/r6101/DES0918-1332/p01/coadd,139.70187500,-13.54725900
DES1125-1041,DEC_Taiga/multiepoch/delve/r6101/DES1125-1041/p01/coadd,171.45492500,-10.69170400
DES1127-0416,DEC_Taiga/multiepoch/delve/r6101/DES1127-0416/p02/coadd,171.99839700,-4.26670400
DES0936-0750,DEC_Taiga/multiepoch/delve/r6101/DES0936-0750/p01/coadd,144.15654200,-7.83614800
DES0905-1124,DEC_Taiga/multiepoch/delve/r6101/DES0905-1124/p01/coadd,136.39435300,-11.40559300
DES0857-0458,DEC_Taiga/multiepoch/delve/r6101/DES0857-0458/p01/coadd,134.27798300,-4.98059300
DES1058+0917,DEC_Taiga/multiepoch/delve/r6101/DES1058+0917/p01/coadd,164.57016900,9.29718500
DES0735+1500,DEC_Taiga/multiepoch/delve/r6101/DES0735+1500/p01/coadd,113.81820000,15.00829600
DES1023+1334,DEC_Taiga/multiepoch/delve/r6101/DES1023+1334/p01/coadd,155.89071800,13.58051900
DES1037+1917,DEC_Taiga/multiepoch/delve/r6101/DES1037+1917/p01/coadd,159.30406200,19.29163000
DES1142+1626,DEC_Taiga/multiepoch/delve/r6101/DES1142+1626/p01/coadd,175.50652900,16.43607400
DES1035+0543,DEC_Taiga/multiepoch/delve/r6101/DES1035+0543/p01/coadd,158.94017900,5.72774100
DES0900-1415,DEC_Taiga/multiepoch/delve/r6101/DES0900-1415/p01/coadd,135.23991400,-14.26114800
DES1144-0333,DEC_Taiga/multiepoch/delve/r6101/DES1144-0333/p02/coadd,176.07122400,-3.55281500
DES1107+2543,DEC_Taiga/multiepoch/delve/r6101/DES1107+2543/p01/coadd,166.97457400,25.71663000
DES1125-1250,DEC_Taiga/multiepoch/delve/r6101/DES1125-1250/p01/coadd,171.26250800,-12.83337000
DES1012+0335,DEC_Taiga/multiepoch/delve/r6101/DES1012+0335/p01/coadd,153.19143500,3.58607400
DES0848+0209,DEC_Taiga/multiepoch/delve/r6101/DES0848+0209/p01/coadd,132.17633100,2.15829600
DES0835+1000,DEC_Taiga/multiepoch/delve/r6101/DES0835+1000/p01/coadd,128.85337700,10.01107400
DES1113-0041,DEC_Taiga/multiepoch/delve/r6101/DES1113-0041/p02/coadd,168.44935800,-0.69725900
DES1009-2206,DEC_Taiga/multiepoch/delve/r6101/DES1009-2206/p01/coadd,152.33693500,-22.11392600
DES1113+0001,DEC_Taiga/multiepoch/delve/r6101/DES1113+0001/p01/coadd,168.43060300,0.01663000
DES1130+2751,DEC_Taiga/multiepoch/delve/r6101/DES1130+2751/p01/coadd,172.58299700,27.85829600
DES1029-0707,DEC_Taiga/multiepoch/delve/r6101/DES1029-0707/p01/coadd,157.45136500,-7.12225900
DES0913-1707,DEC_Taiga/multiepoch/delve/r6101/DES0913-1707/p01/coadd,138.34535100,-17.11670400
DES1033-2041,DEC_Taiga/multiepoch/delve/r6101/DES1033-2041/p01/coadd,158.42422800,-20.68614800
DES1045+2834,DEC_Taiga/multiepoch/delve/r6101/DES1045+2834/p01/coadd,161.30458700,28.57218500
DES1109+0917,DEC_Taiga/multiepoch/delve/r6101/DES1109+0917/p01/coadd,167.46373600,9.29718500
DES1149+0500,DEC_Taiga/multiepoch/delve/r6101/DES1149+0500/p02/coadd,177.28700000,5.01385200
DES1003+1626,DEC_Taiga/multiepoch/delve/r6101/DES1003+1626/p01/coadd,150.94448800,16.43607400
DES0805+1917,DEC_Taiga/multiepoch/delve/r6101/DES0805+1917/p01/coadd,121.48610200,19.29163000
DES0924-2249,DEC_Taiga/multiepoch/delve/r6101/DES0924-2249/p01/coadd,141.17034600,-22.82781500
DES0807+2543,DEC_Taiga/multiepoch/delve/r6101/DES0807+2543/p01/coadd,121.80932800,25.71663000
DES0854-0458,DEC_Taiga/multiepoch/delve/r6101/DES0854-0458/p01/coadd,133.56138800,-4.98059300
DES1031+1000,DEC_Taiga/multiepoch/delve/r6101/DES1031+1000/p01/coadd,157.85044100,10.01107400
DES1026-0250,DEC_Taiga/multiepoch/delve/r6101/DES1026-0250/p01/coadd,156.59097400,-2.83892600
DES0955-0333,DEC_Taiga/multiepoch/delve/r6101/DES0955-0333/p01/coadd,148.89121000,-3.55281500
DES1022+0126,DEC_Taiga/multiepoch/delve/r6101/DES1022+0126/p01/coadd,155.65706400,1.44440700
DES1026-1207,DEC_Taiga/multiepoch/delve/r6101/DES1026-1207/p01/coadd,156.68389900,-12.11948100
DES1029+0709,DEC_Taiga/multiepoch/delve/r6101/DES1029+0709/p01/coadd,157.46903200,7.15551900
DES1132-0333,DEC_Taiga/multiepoch/delve/r6101/DES1132-0333/p02/coadd,173.21017000,-3.55281500
DES0856-0416,DEC_Taiga/multiepoch/delve/r6101/DES0856-0416/p01/coadd,134.05713500,-4.26670400
DES1054+0209,DEC_Taiga/multiepoch/delve/r6101/DES1054+0209/p01/coadd,163.60974200,2.15829600
DES0932+1043,DEC_Taiga/multiepoch/delve/r6101/DES0932+1043/p01/coadd,143.14648100,10.72496300
DES0909-1541,DEC_Taiga/multiepoch/delve/r6101/DES0909-1541/p01/coadd,137.45442000,-15.68892600
DES1152+0252,DEC_Taiga/multiepoch/delve/r6101/DES1152+0252/p02/coadd,178.04158900,2.87218500
DES0919+1626,DEC_Taiga/multiepoch/delve/r6101/DES0919+1626/p01/coadd,139.77992500,16.43607400
DES1032+1417,DEC_Taiga/multiepoch/delve/r6101/DES1032+1417/p01/coadd,158.11013900,14.29440700
DES1059+0043,DEC_Taiga/multiepoch/delve/r6101/DES1059+0043/p01/coadd,164.88146000,0.73051900
DES0853+0626,DEC_Taiga/multiepoch/delve/r6101/DES0853+0626/p01/coadd,133.40111400,6.44163000
DES0937-1958,DEC_Taiga/multiepoch/delve/r6101/DES0937-1958/p01/coadd,144.39040400,-19.97225900
DES0918+1334,DEC_Taiga/multiepoch/delve/r6101/DES0918+1334/p01/coadd,139.73341600,13.58051900
DES0855-0541,DEC_Taiga/multiepoch/delve/r6101/DES0855-0541/p01/coadd,133.81596200,-5.69448100
DES1116-0041,DEC_Taiga/multiepoch/delve/r6101/DES1116-0041/p01/coadd,169.16329900,-0.69725900
DES0921+0835,DEC_Taiga/multiepoch/delve/r6101/DES0921+0835/p01/coadd,140.25627700,8.58329600
DES0831+2625,DEC_Taiga/multiepoch/delve/r6101/DES0831+2625/p01/coadd,127.85739300,26.43051900
DES0914-1124,DEC_Taiga/multiepoch/delve/r6101/DES0914-1124/p01/coadd,138.57916500,-11.40559300
DES0927-0750,DEC_Taiga/multiepoch/delve/r6101/DES0927-0750/p01/coadd,141.99468900,-7.83614800
DES1102-0833,DEC_Taiga/multiepoch/delve/r6101/DES1102-0833/p01/coadd,165.50345100,-8.55003700
DES1114+0252,DEC_Taiga/multiepoch/delve/r6101/DES1114+0252/p01/coadd,168.74936100,2.87218500
DES1118-1624,DEC_Taiga/multiepoch/delve/r6101/DES1118-1624/p01/coadd,169.50845800,-16.40281500
DES0809+2000,DEC_Taiga/multiepoch/delve/r6101/DES0809+2000/p01/coadd,122.40673900,20.00551900
DES0707+2208,DEC_Taiga/multiepoch/delve/r6101/DES0707+2208/p01/coadd,106.91845100,22.14718500
DES1152+0500,DEC_Taiga/multiepoch/delve/r6101/DES1152+0500/p02/coadd,178.00363200,5.01385200
DES0937-2124,DEC_Taiga/multiepoch/delve/r6101/DES0937-2124/p01/coadd,144.25888100,-21.40003700
DES1057+2126,DEC_Taiga/multiepoch/delve/r6101/DES1057+2126/p01/coadd,164.25130200,21.43329600
DES1138+0917,DEC_Taiga/multiepoch/delve/r6101/DES1138+0917/p01/coadd,174.69765300,9.29718500
DES0941+0835,DEC_Taiga/multiepoch/delve/r6101/DES0941+0835/p01/coadd,145.31010300,8.58329600
DES1014-2249,DEC_Taiga/multiepoch/delve/r6101/DES1014-2249/p01/coadd,153.56324000,-22.82781500
DES1043+0500,DEC_Taiga/multiepoch/delve/r6101/DES1043+0500/p01/coadd,160.80448600,5.01385200
