TILENAME,PATH,RA_CENT,DEC_CENT
DES1421-4540,DEC_Taiga/multiepoch/delve/r6050/DES1421-4540/p01/coadd,215.36452400,-45.67225900
DES1520+0709,DEC_Taiga/multiepoch/delve/r6050/DES1520+0709/p01/coadd,230.13778200,7.15551900
DES1557-3540,DEC_Taiga/multiepoch/delve/r6050/DES1557-3540/p01/coadd,239.29134700,-35.67781500
DES1627-1958,DEC_Taiga/multiepoch/delve/r6117/DES1627-1958/p01/coadd,246.93245400,-19.97225900
DES1300-2958,DEC_Taiga/multiepoch/delve/r6050/DES1300-2958/p01/coadd,195.17746200,-29.96670400
DES1320-2958,DEC_Taiga/multiepoch/delve/r6050/DES1320-2958/p01/coadd,200.12176900,-29.96670400
DES1538-2749,DEC_Taiga/multiepoch/delve/r6050/DES1538-2749/p01/coadd,234.65995400,-27.82503700
DES1527+0626,DEC_Taiga/multiepoch/delve/r6050/DES1527+0626/p01/coadd,231.82528300,6.44163000
DES1412-3957,DEC_Taiga/multiepoch/delve/r6050/DES1412-3957/p01/coadd,213.04341500,-39.96114800
DES1154-3832,DEC_Taiga/multiepoch/delve/r6050/DES1154-3832/p01/coadd,178.74562800,-38.53337000
DES1157-3623,DEC_Taiga/multiepoch/delve/r6050/DES1157-3623/p01/coadd,179.27849000,-36.39170400
DES1501-1624,DEC_Taiga/multiepoch/delve/r6050/DES1501-1624/p01/coadd,225.32170800,-16.40281500
DES1338+0335,DEC_Taiga/multiepoch/delve/r6050/DES1338+0335/p01/coadd,204.69227800,3.58607400
DES1506-1041,DEC_Taiga/multiepoch/delve/r6050/DES1506-1041/p01/coadd,226.66900900,-10.69170400
DES1657-1624,DEC_Taiga/multiepoch/delve/r6050/DES1657-1624/p03/coadd,254.34459800,-16.40281500
DES1017-3749,DEC_Taiga/multiepoch/delve/r6050/DES1017-3749/p03/coadd,154.48518100,-37.81948100
DES1506-2623,DEC_Taiga/multiepoch/delve/r6050/DES1506-2623/p01/coadd,226.62243000,-26.39725900
DES1621-2958,DEC_Taiga/multiepoch/delve/r6050/DES1621-2958/p02/coadd,245.44458700,-29.96670400
DES1336-2041,DEC_Taiga/multiepoch/delve/r6050/DES1336-2041/p01/coadd,204.20934200,-20.68614800
DES1203+1209,DEC_Taiga/multiepoch/delve/r6050/DES1203+1209/p01/coadd,180.81252100,12.15274100
DES1252-1749,DEC_Taiga/multiepoch/delve/r6050/DES1252-1749/p01/coadd,193.21660600,-17.83059300
DES1455-0333,DEC_Taiga/multiepoch/delve/r6050/DES1455-0333/p02/coadd,223.99388000,-3.55281500
DES0900-2958,DEC_Taiga/multiepoch/delve/r6050/DES0900-2958/p01/coadd,135.02172200,-29.96670400
DES1232+0626,DEC_Taiga/multiepoch/delve/r6050/DES1232+0626/p01/coadd,188.00138300,6.44163000
DES1320+0500,DEC_Taiga/multiepoch/delve/r6050/DES1320+0500/p01/coadd,200.21919400,5.01385200
DES1413-0333,DEC_Taiga/multiepoch/delve/r6117/DES1413-0333/p01/coadd,213.26492700,-3.55281500
DES1313-3332,DEC_Taiga/multiepoch/delve/r6050/DES1313-3332/p01/coadd,198.48715600,-33.53614800
DES1343+0209,DEC_Taiga/multiepoch/delve/r6050/DES1343+0209/p01/coadd,205.75908800,2.15829600
DES1216+1543,DEC_Taiga/multiepoch/delve/r6050/DES1216+1543/p01/coadd,184.21387700,15.72218500
DES1131-4123,DEC_Taiga/multiepoch/delve/r6050/DES1131-4123/p01/coadd,172.86962300,-41.38892600
DES1237-0458,DEC_Taiga/multiepoch/delve/r6050/DES1237-0458/p01/coadd,189.45576600,-4.98059300
DES1139-4623,DEC_Taiga/multiepoch/delve/r6050/DES1139-4623/p01/coadd,174.76722100,-46.38614800
DES1321+1500,DEC_Taiga/multiepoch/delve/r6050/DES1321+1500/p01/coadd,200.29301400,15.00829600
DES1224-4040,DEC_Taiga/multiepoch/delve/r6050/DES1224-4040/p01/coadd,186.09037600,-40.67503700
DES1319-0416,DEC_Taiga/multiepoch/delve/r6117/DES1319-0416/p01/coadd,199.91743900,-4.26670400
DES1405-3040,DEC_Taiga/multiepoch/delve/r6117/DES1405-3040/p01/coadd,211.33816000,-30.68059300
DES1250+1751,DEC_Taiga/multiepoch/delve/r6050/DES1250+1751/p01/coadd,192.51867500,17.86385200
DES1409-1707,DEC_Taiga/multiepoch/delve/r6050/DES1409-1707/p01/coadd,212.29580600,-17.11670400
DES1116-3040,DEC_Taiga/multiepoch/delve/r6050/DES1116-3040/p01/coadd,169.00414300,-30.68059300
DES1301+1252,DEC_Taiga/multiepoch/delve/r6117/DES1301+1252/p01/coadd,195.46161600,12.86663000
DES1442-2706,DEC_Taiga/multiepoch/delve/r6050/DES1442-2706/p01/coadd,220.56592900,-27.11114800
DES1200+1334,DEC_Taiga/multiepoch/delve/r6050/DES1200+1334/p01/coadd,180.12667000,13.58051900
DES1231+1543,DEC_Taiga/multiepoch/delve/r6050/DES1231+1543/p01/coadd,187.92205700,15.72218500
DES1302+0001,DEC_Taiga/multiepoch/delve/r6050/DES1302+0001/p01/coadd,195.55838200,0.01663000
DES1539-1458,DEC_Taiga/multiepoch/delve/r6050/DES1539-1458/p01/coadd,234.98090400,-14.97503700
DES1226-2541,DEC_Taiga/multiepoch/delve/r6050/DES1226-2541/p01/coadd,186.70780700,-25.68337000
DES1303-0458,DEC_Taiga/multiepoch/delve/r6050/DES1303-0458/p01/coadd,195.90511800,-4.98059300
DES1610+1043,DEC_Taiga/multiepoch/delve/r6117/DES1610+1043/p01/coadd,242.68808200,10.72496300
DES1000-3623,DEC_Taiga/multiepoch/delve/r6050/DES1000-3623/p01/coadd,150.01275600,-36.39170400
DES1636-0915,DEC_Taiga/multiepoch/delve/r6050/DES1636-0915/p01/coadd,249.17522600,-9.26392600
DES1553+1043,DEC_Taiga/multiepoch/delve/r6050/DES1553+1043/p01/coadd,238.32859600,10.72496300
DES1146-3415,DEC_Taiga/multiepoch/delve/r6050/DES1146-3415/p01/coadd,176.68769900,-34.25003700
DES1510-2458,DEC_Taiga/multiepoch/delve/r6050/DES1510-2458/p01/coadd,227.63496500,-24.96948100
DES1547-3206,DEC_Taiga/multiepoch/delve/r6050/DES1547-3206/p01/coadd,236.94949900,-32.10837000
