TILENAME,PATH,RA_CENT,DEC_CENT
DES1125+1252,DEC_Taiga/multiepoch/delve/r5918/DES1125+1252/p01/coadd,171.296519,12.86663
DES0926+2043,DEC_Taiga/multiepoch/delve/r5918/DES0926+2043/p01/coadd,141.686188,20.719407
DES0950+1834,DEC_Taiga/multiepoch/delve/r5918/DES0950+1834/p01/coadd,147.718171,18.577741
DES0902-1124,DEC_Taiga/multiepoch/delve/r5918/DES0902-1124/p01/coadd,135.666082,-11.405593
DES1009-1541,DEC_Taiga/multiepoch/delve/r5918/DES1009-1541/p01/coadd,152.284712,-15.688926
DES0920+1834,DEC_Taiga/multiepoch/delve/r5918/DES0920+1834/p01/coadd,140.18684,18.577741
DES1058-0541,DEC_Taiga/multiepoch/delve/r5918/DES1058-0541/p01/coadd,164.66542,-5.694481
DES0841+1751,DEC_Taiga/multiepoch/delve/r5918/DES0841+1751/p01/coadd,130.264494,17.863852
DES1121-1832,DEC_Taiga/multiepoch/delve/r5918/DES1121-1832/p01/coadd,170.262294,-18.544481
DES1120-0250,DEC_Taiga/multiepoch/delve/r5918/DES1120-0250/p01/coadd,170.171529,-2.838926
DES0818+2917,DEC_Taiga/multiepoch/delve/r5918/DES0818+2917/p02/coadd,124.536955,29.286074
DES0823+1834,DEC_Taiga/multiepoch/delve/r5918/DES0823+1834/p01/coadd,125.877311,18.577741
DES1017-0915,DEC_Taiga/multiepoch/delve/r5918/DES1017-0915/p01/coadd,154.419924,-9.263926
DES1105+1043,DEC_Taiga/multiepoch/delve/r5918/DES1105+1043/p01/coadd,166.397074,10.724963
DES0956+0126,DEC_Taiga/multiepoch/delve/r5918/DES0956+0126/p01/coadd,149.230022,1.444407
DES1012+1543,DEC_Taiga/multiepoch/delve/r5918/DES1012+1543/p01/coadd,153.065168,15.722185
DES1146-0958,DEC_Taiga/multiepoch/delve/r5918/DES1146-0958/p02/coadd,176.671702,-9.977815
DES0803+0835,DEC_Taiga/multiepoch/delve/r5918/DES0803+0835/p01/coadd,120.762948,8.583296
DES0817-0707,DEC_Taiga/multiepoch/delve/r5918/DES0817-0707/p02/coadd,124.357119,-7.122259
DES0831+1543,DEC_Taiga/multiepoch/delve/r5918/DES0831+1543/p01/coadd,127.849547,15.722185
DES0958+2543,DEC_Taiga/multiepoch/delve/r5918/DES0958+2543/p01/coadd,149.542374,25.71663
DES0935+0709,DEC_Taiga/multiepoch/delve/r5918/DES0935+0709/p01/coadd,143.798673,7.155519
DES1016-0041,DEC_Taiga/multiepoch/delve/r5918/DES1016-0041/p01/coadd,154.170523,-0.697259
DES0716+2417,DEC_Taiga/multiepoch/delve/r5918/DES0716+2417/p01/coadd,109.237818,24.288852
DES0823-1832,DEC_Taiga/multiepoch/delve/r5918/DES0823-1832/p02/coadd,125.83612,-18.544481
