TILENAME,PATH
DES0759+1834, DEC_Taiga/multiepoch/delve/r6101/DES0759+1834/p01/coadd
DES1114-1958, DEC_Taiga/multiepoch/delve/r6101/DES1114-1958/p02/coadd
DES0836+0917, DEC_Taiga/multiepoch/delve/r6101/DES0836+0917/p01/coadd
DES1021-0833, DEC_Taiga/multiepoch/delve/r6101/DES1021-0833/p01/coadd
DES1026-0250, DEC_Taiga/multiepoch/delve/r6101/DES1026-0250/p01/coadd
DES1023-1832, DEC_Taiga/multiepoch/delve/r6101/DES1023-1832/p01/coadd
DES1058+0917, DEC_Taiga/multiepoch/delve/r6101/DES1058+0917/p01/coadd
DES1040+2417, DEC_Taiga/multiepoch/delve/r6101/DES1040+2417/p01/coadd
DES0953+1834, DEC_Taiga/multiepoch/delve/r6101/DES0953+1834/p01/coadd
DES1104+2625, DEC_Taiga/multiepoch/delve/r6101/DES1104+2625/p01/coadd
DES1116-1915, DEC_Taiga/multiepoch/delve/r6101/DES1116-1915/p01/coadd
DES1124-0707, DEC_Taiga/multiepoch/delve/r6101/DES1124-0707/p01/coadd
DES1032-1250, DEC_Taiga/multiepoch/delve/r6101/DES1032-1250/p01/coadd
DES0907+0418, DEC_Taiga/multiepoch/delve/r6101/DES0907+0418/p01/coadd
DES1003+1126, DEC_Taiga/multiepoch/delve/r6101/DES1003+1126/p01/coadd
DES1125-2249, DEC_Taiga/multiepoch/delve/r6101/DES1125-2249/p01/coadd
DES0846+0252, DEC_Taiga/multiepoch/delve/r6101/DES0846+0252/p01/coadd
DES0855-1749, DEC_Taiga/multiepoch/delve/r6101/DES0855-1749/p01/coadd
DES1050+0709, DEC_Taiga/multiepoch/delve/r6101/DES1050+0709/p01/coadd
DES1043+0500, DEC_Taiga/multiepoch/delve/r6101/DES1043+0500/p01/coadd
DES1125-1250, DEC_Taiga/multiepoch/delve/r6101/DES1125-1250/p01/coadd
DES0939-1332, DEC_Taiga/multiepoch/delve/r6101/DES0939-1332/p01/coadd
DES0754+0500, DEC_Taiga/multiepoch/delve/r6101/DES0754+0500/p01/coadd
DES0933+0626, DEC_Taiga/multiepoch/delve/r6101/DES0933+0626/p01/coadd
DES1110-2249, DEC_Taiga/multiepoch/delve/r6101/DES1110-2249/p01/coadd
DES1118-1624, DEC_Taiga/multiepoch/delve/r6101/DES1118-1624/p01/coadd
DES0854+0500, DEC_Taiga/multiepoch/delve/r6101/DES0854+0500/p01/coadd
DES1144-0333, DEC_Taiga/multiepoch/delve/r6101/DES1144-0333/p02/coadd
DES0936-1458, DEC_Taiga/multiepoch/delve/r6101/DES0936-1458/p01/coadd
DES0859+1209, DEC_Taiga/multiepoch/delve/r6101/DES0859+1209/p01/coadd
DES0813-1458, DEC_Taiga/multiepoch/delve/r6101/DES0813-1458/p01/coadd
DES1126-0750, DEC_Taiga/multiepoch/delve/r6101/DES1126-0750/p01/coadd
DES0708+2251, DEC_Taiga/multiepoch/delve/r6101/DES0708+2251/p01/coadd
DES1116-0041, DEC_Taiga/multiepoch/delve/r6101/DES1116-0041/p01/coadd
DES0705+2251, DEC_Taiga/multiepoch/delve/r6101/DES0705+2251/p01/coadd
DES1117+1500, DEC_Taiga/multiepoch/delve/r6101/DES1117+1500/p01/coadd
DES1039+0126, DEC_Taiga/multiepoch/delve/r6101/DES1039+0126/p01/coadd
DES0803+2000, DEC_Taiga/multiepoch/delve/r6101/DES0803+2000/p01/coadd
DES0918+0835, DEC_Taiga/multiepoch/delve/r6101/DES0918+0835/p01/coadd
DES0937-1958, DEC_Taiga/multiepoch/delve/r6101/DES0937-1958/p01/coadd
DES0831-0707, DEC_Taiga/multiepoch/delve/r6101/DES0831-0707/p01/coadd
DES1134+2334, DEC_Taiga/multiepoch/delve/r6101/DES1134+2334/p01/coadd
DES1126-0458, DEC_Taiga/multiepoch/delve/r6101/DES1126-0458/p01/coadd
DES1128+2251, DEC_Taiga/multiepoch/delve/r6101/DES1128+2251/p01/coadd
DES1127-0416, DEC_Taiga/multiepoch/delve/r6101/DES1127-0416/p02/coadd
DES1152+0252, DEC_Taiga/multiepoch/delve/r6101/DES1152+0252/p02/coadd
DES1138+0917, DEC_Taiga/multiepoch/delve/r6101/DES1138+0917/p01/coadd
DES1125+2043, DEC_Taiga/multiepoch/delve/r6101/DES1125+2043/p01/coadd
DES1122+1334, DEC_Taiga/multiepoch/delve/r6101/DES1122+1334/p01/coadd
DES1127-1250, DEC_Taiga/multiepoch/delve/r6101/DES1127-1250/p01/coadd
DES0802+2625, DEC_Taiga/multiepoch/delve/r6101/DES0802+2625/p01/coadd
DES1142+1626, DEC_Taiga/multiepoch/delve/r6101/DES1142+1626/p01/coadd
DES0930-1541, DEC_Taiga/multiepoch/delve/r6101/DES0930-1541/p01/coadd
