TILENAME,PATH,RA_CENT,DEC_CENT 
DES1250-2958,DEC_Taiga/multiepoch/delve/r6050/DES1250-2958/p01/coadd,192.705308,-29.966704
DES0953-4040,DEC_Taiga/multiepoch/delve/r6050/DES0953-4040/p01/coadd,148.438941,-40.675037
DES1123-3123,DEC_Taiga/multiepoch/delve/r6050/DES1123-3123/p01/coadd,170.91577,-31.394481
DES1416-4206,DEC_Taiga/multiepoch/delve/r6050/DES1416-4206/p01/coadd,214.240481,-42.102815
DES0931-3332,DEC_Taiga/multiepoch/delve/r6050/DES0931-3332/p01/coadd,142.817482,-33.536148
DES0919-2958,DEC_Taiga/multiepoch/delve/r6050/DES0919-2958/p01/coadd,139.966029,-29.966704
DES1100-4249,DEC_Taiga/multiepoch/delve/r6050/DES1100-4249/p01/coadd,165.117831,-42.816704
DES1257+0500,DEC_Taiga/multiepoch/delve/r6117/DES1257+0500/p01/coadd,194.486146,5.013852
DES1442-2958,DEC_Taiga/multiepoch/delve/r6050/DES1442-2958/p01/coadd,220.72305,-29.966704
DES1441+2334,DEC_Taiga/multiepoch/delve/r6117/DES1441+2334/p01/coadd,220.327969,23.574963
DES1556-2415,DEC_Taiga/multiepoch/delve/r6050/DES1556-2415/p05/coadd,239.16676,-24.255593
DES1103-4748,DEC_Taiga/multiepoch/delve/r6050/DES1103-4748/p01/coadd,165.882397,-47.813926
DES1502-3914,DEC_Taiga/multiepoch/delve/r6050/DES1502-3914/p01/coadd,225.657733,-39.247259
DES1548-3832,DEC_Taiga/multiepoch/delve/r6050/DES1548-3832/p01/coadd,237.152954,-38.53337
DES1301-4623,DEC_Taiga/multiepoch/delve/r6050/DES1301-4623/p01/coadd,195.4658,-46.386148
DES1523-3706,DEC_Taiga/multiepoch/delve/r6050/DES1523-3706/p01/coadd,230.980912,-37.105593
DES1349-3957,DEC_Taiga/multiepoch/delve/r6050/DES1349-3957/p01/coadd,207.455102,-39.961148
DES1535-2958,DEC_Taiga/multiepoch/delve/r6050/DES1535-2958/p01/coadd,233.90787,-29.966704
DES1204-2623,DEC_Taiga/multiepoch/delve/r6050/DES1204-2623/p01/coadd,181.194102,-26.397259
DES1420+1043,DEC_Taiga/multiepoch/delve/r6117/DES1420+1043/p01/coadd,215.078003,10.724963
DES0927-2458,DEC_Taiga/multiepoch/delve/r6050/DES0927-2458/p01/coadd,141.798172,-24.969481
DES1320-4414,DEC_Taiga/multiepoch/delve/r6050/DES1320-4414/p01/coadd,200.009664,-44.244481
DES1152-3706,DEC_Taiga/multiepoch/delve/r6050/DES1152-3706/p01/coadd,178.168246,-37.105593
DES1241-4249,DEC_Taiga/multiepoch/delve/r6050/DES1241-4249/p01/coadd,190.421576,-42.816704
DES0855-2706,DEC_Taiga/multiepoch/delve/r6050/DES0855-2706/p01/coadd,133.948827,-27.111148
DES1122-3040,DEC_Taiga/multiepoch/delve/r6050/DES1122-3040/p02/coadd,170.6643,-30.680593
DES1409-2832,DEC_Taiga/multiepoch/delve/r6050/DES1409-2832/p01/coadd,212.422241,-28.538926
DES1335-2749,DEC_Taiga/multiepoch/delve/r6050/DES1335-2749/p01/coadd,203.985518,-27.825037
DES1426-2706,DEC_Taiga/multiepoch/delve/r6050/DES1426-2706/p01/coadd,216.555878,-27.111148
DES1113-4540,DEC_Taiga/multiepoch/delve/r6050/DES1113-4540/p01/coadd,168.368722,-45.672259
DES1340-4249,DEC_Taiga/multiepoch/delve/r6050/DES1340-4249/p01/coadd,205.01989,-42.816704
DES1405-3332,DEC_Taiga/multiepoch/delve/r6050/DES1405-3332/p01/coadd,211.334004,-33.536148
DES0944-3332,DEC_Taiga/multiepoch/delve/r6050/DES0944-3332/p01/coadd,146.243308,-33.536148
DES1301-4457,DEC_Taiga/multiepoch/delve/r6050/DES1301-4457/p01/coadd,195.462563,-44.95837
DES1734-1041,DEC_Taiga/multiepoch/delve/r6117/DES1734-1041/p01/coadd,263.720565,-10.691704
DES1422-3415,DEC_Taiga/multiepoch/delve/r6050/DES1422-3415/p01/coadd,215.552203,-34.250037
DES1136-3832,DEC_Taiga/multiepoch/delve/r6050/DES1136-3832/p01/coadd,174.182556,-38.53337
